clue;clue_no;gold_guesses;model_guesses;top-5-acc;rank
calculus;2;exam, algebra;('algebra', 'exam');1;0
equation;2;exam, algebra;('algebra', 'void');1;4
knowledge;2;exam, algebra;('instruction', 'depth');0;14
math;2;exam, algebra;('algebra', 'instruction');1;1
school;2;exam, algebra;('instruction', 'algebra');0;8
study;2;exam, algebra;('exam', 'instruction');1;2
test;2;exam, algebra;('exam', 'abnormal');1;2
awkward;2;giggle, abnormal;('angry', 'giggle');0;6
cackle;2;giggle, abnormal;('giggle', 'yarn');0;6
comedy;2;giggle, abnormal;('couch', 'giggle');0;120
embarrass;2;giggle, abnormal;('angry', 'giggle');0;14
emotion;2;giggle, abnormal;('angry', 'depth');0;20
funny;2;giggle, abnormal;('angry', 'giggle');0;49
giddy;2;giggle, abnormal;('giggle', 'angry');0;14
goofy;2;giggle, abnormal;('angry', 'giggle');0;21
happy;2;giggle, abnormal;('angry', 'adore');0;98
hilarious;2;giggle, abnormal;('angry', 'giggle');0;26
hysterical;2;giggle, abnormal;('angry', 'giggle');1;4
insane;2;giggle, abnormal;('angry', 'outfit');0;21
laugh;2;giggle, abnormal;('giggle', 'angry');0;16
outburst;2;giggle, abnormal;('angry', 'giggle');0;6
quirky;2;giggle, abnormal;('adore', 'outfit');0;41
silly;2;giggle, abnormal;('angry', 'giggle');0;40
snort;2;giggle, abnormal;('giggle', 'burglar');0;5
standout;2;giggle, abnormal;('outfit', 'depth');0;187
weird;2;giggle, abnormal;('angry', 'giggle');0;6
alone;2;void, couch;('better', 'couch');0;40
comfort;2;void, couch;('better', 'couch');0;37
comfortable;2;void, couch;('better', 'couch');0;34
crack;2;void, couch;('angry', 'exam');0;29
depress;2;void, couch;('abnormal', 'giggle');0;117
depressed;2;void, couch;('angry', 'abnormal');0;33
empty;2;void, couch;('void', 'couch');1;0
furniture;2;void, couch;('couch', 'yarn');0;12
lazy;2;void, couch;('angry', 'couch');0;6
move;2;void, couch;('better', 'lead');0;47
pillow;2;void, couch;('couch', 'yarn');0;17
purchase;2;void, couch;('better', 'write');0;94
relax;2;void, couch;('couch', 'giggle');0;13
seat;2;void, couch;('couch', 'anchor');0;10
sedentary;2;void, couch;('abnormal', 'couch');0;17
sit;2;void, couch;('couch', 'write');0;10
sofa;2;void, couch;('couch', 'outfit');0;10
space;2;void, couch;('better', 'depth');0;6
stare;2;void, couch;('giggle', 'angry');0;12
store;2;void, couch;('write', 'yarn');0;105
weekend;2;void, couch;('better', 'outfit');0;89
change;2;pendulum, dusk;('action', 'pull');0;134
clock;2;pendulum, dusk;('pendulum', 'dusk');1;0
cycle;2;pendulum, dusk;('peak', 'pendulum');0;23
end;2;pendulum, dusk;('hard', 'pull');0;125
evening;2;pendulum, dusk;('tea', 'dusk');0;37
hypnotize;2;pendulum, dusk;('pendulum', 'clove');1;3
light;2;pendulum, dusk;('hand', 'dusk');0;6
midnight;2;pendulum, dusk;('dusk', 'comedy');0;10
repetitious;2;pendulum, dusk;('pendulum', 'bluejay');0;5
right;2;pendulum, dusk;('hand', 'pull');0;162
sun;2;pendulum, dusk;('dusk', 'valley');0;12
sunset;2;pendulum, dusk;('dusk', 'valley');0;8
swing;2;pendulum, dusk;('pull', 'pendulum');0;8
time;2;pendulum, dusk;('hard', 'hand');0;89
beverage;2;tea, bean;('tea', 'strawberry');1;2
black;2;tea, bean;('hard', 'bean');0;28
cafe;2;tea, bean;('tea', 'bean');1;0
caffeine;2;tea, bean;('tea', 'clove');1;1
coffee;2;tea, bean;('tea', 'bean');1;0
drink;2;tea, bean;('tea', 'strawberry');0;5
food;2;tea, bean;('tea', 'bean');1;0
green;2;tea, bean;('tea', 'bean');1;0
legume;2;tea, bean;('bean', 'strawberry');1;3
plant;2;tea, bean;('tea', 'strawberry');1;2
roast;2;tea, bean;('bean', 'clove');1;2
time;2;tea, bean;('hard', 'hand');0;114
vanilla;2;tea, bean;('strawberry', 'clove');0;7
activity;2;tourist, comedy;('action', 'peak');0;42
attraction;2;tourist, comedy;('tourist', 'comedy');1;0
audience;2;tourist, comedy;('comedy', 'pull');1;2
cinema;2;tourist, comedy;('comedy', 'tourist');1;0
cruise;2;tourist, comedy;('tourist', 'dusk');1;2
enjoy;2;tourist, comedy;('hard', 'tourist');0;8
entertain;2;tourist, comedy;('comedy', 'pull');1;1
fun;2;tourist, comedy;('hard', 'comedy');0;13
funny;2;tourist, comedy;('comedy', 'hard');0;9
happy;2;tourist, comedy;('hard', 'kick');0;71
laugh;2;tourist, comedy;('comedy', 'kick');0;24
performance;2;tourist, comedy;('hard', 'action');0;67
plan;2;tourist, comedy;('action', 'hard');0;69
show;2;tourist, comedy;('comedy', 'action');0;9
sightseeing;2;tourist, comedy;('tourist', 'dusk');1;3
tacky;2;tourist, comedy;('tourist', 'blank');0;5
theatre;2;tourist, comedy;('comedy', 'valley');1;1
ticket;2;tourist, comedy;('tourist', 'comedy');1;0
travel;2;tourist, comedy;('tourist', 'valley');0;7
vacation;2;tourist, comedy;('tourist', 'valley');1;3
abrupt;2;beginning, brake;('beginning', 'trigger');0;5
bicycle;2;beginning, brake;('brake', 'laundry');0;21
bike;2;beginning, brake;('brake', 'slick');0;11
car;2;beginning, brake;('brake', 'aircraft');0;40
cautious;2;beginning, brake;('beginning', 'faith');0;37
drive;2;beginning, brake;('stop', 'brake');0;13
driver;2;beginning, brake;('stop', 'brake');0;21
end;2;beginning, brake;('beginning', 'stop');1;4
ignition;2;beginning, brake;('brake', 'gas');0;11
license;2;beginning, brake;('school', 'aircraft');0;44
manual;2;beginning, brake;('brake', 'trigger');0;5
new;2;beginning, brake;('school', 'beginning');0;33
race;2;beginning, brake;('beginning', 'riot');0;7
restart;2;beginning, brake;('stop', 'trigger');0;10
slow;2;beginning, brake;('stop', 'trigger');0;15
start;2;beginning, brake;('beginning', 'stop');0;7
stop;2;beginning, brake;('stop', 'trigger');0;25
stoplight;2;beginning, brake;('stop', 'brake');0;24
time;2;beginning, brake;('beginning', 'stop');0;21
tricycle;2;beginning, brake;('brake', 'aircraft');0;46
flight;2;birds, aircraft;('aircraft', 'birds');1;0
fly;2;birds, aircraft;('aircraft', 'birds');1;0
sky;2;birds, aircraft;('birds', 'aircraft');1;0
turbine;2;birds, aircraft;('aircraft', 'gas');0;5
break;2;school, stop;('stop', 'beginning');1;4
bus;2;school, stop;('stop', 'school');1;0
cancel;2;school, stop;('stop', 'perform');0;7
children;2;school, stop;('school', 'faith');1;4
class;2;school, stop;('school', 'beginning');1;2
cross;2;school, stop;('grace', 'faith');0;28
crosswalk;2;school, stop;('brake', 'riot');0;17
education;2;school, stop;('school', 'faith');1;4
end;2;school, stop;('beginning', 'stop');0;8
graduate;2;school, stop;('school', 'beginning');0;8
graduation;2;school, stop;('school', 'beginning');0;11
learn;2;school, stop;('beginning', 'perform');0;7
red;2;school, stop;('brake', 'bandit');0;91
safety;2;school, stop;('gas', 'brake');0;26
schedule;2;school, stop;('beginning', 'perform');0;5
sign;2;school, stop;('stop', 'beginning');1;2
sky;2;school, stop;('birds', 'aircraft');0;121
summer;2;school, stop;('school', 'beginning');1;4
suspension;2;school, stop;('brake', 'foam');0;76
vacation;2;school, stop;('beginning', 'laundry');0;5
washu;2;school, stop;('sphinx', 'bandit');0;174
art;2;circle, dance;('literature', 'dance');0;6
campfire;2;circle, dance;('dark', 'circle');1;2
celebration;2;circle, dance;('day', 'dance');1;2
choreography;2;circle, dance;('dance', 'wicked');1;3
circus;2;circle, dance;('dance', 'lion');1;1
formation;2;circle, dance;('blood', 'circle');0;20
group;2;circle, dance;('circle', 'dance');1;0
hula;2;circle, dance;('dance', 'circle');1;0
mixer;2;circle, dance;('dance', 'circle');1;0
move;2;circle, dance;('dance', 'circle');1;0
movement;2;circle, dance;('dance', 'literature');1;4
party;2;circle, dance;('day', 'dance');1;2
performance;2;circle, dance;('dance', 'economy');0;26
prom;2;circle, dance;('dance', 'jeans');0;14
ritual;2;circle, dance;('dance', 'blood');1;1
round;2;circle, dance;('day', 'circle');1;4
shape;2;circle, dance;('circle', 'stripes');1;4
social;2;circle, dance;('economy', 'literature');0;41
spin;2;circle, dance;('dance', 'circle');1;0
square;2;circle, dance;('circle', 'hundred');0;5
twirl;2;circle, dance;('dance', 'stripes');1;1
anorexia;2;famine, calorie;('calorie', 'famine');1;0
appetite;2;famine, calorie;('blood', 'calorie');1;2
deficit;2;famine, calorie;('economy', 'aid');0;11
diet;2;famine, calorie;('calorie', 'blood');1;4
food;2;famine, calorie;('aid', 'calorie');1;2
hunger;2;famine, calorie;('famine', 'calorie');1;0
potato;2;famine, calorie;('calorie', 'famine');1;0
starve;2;famine, calorie;('ill', 'famine');1;1
cash;2;hundred, economy;('aid', 'economy');0;8
dollar;2;hundred, economy;('economy', 'hundred');1;0
dollars;2;hundred, economy;('hundred', 'economy');1;0
fortune;2;hundred, economy;('hundred', 'lion');1;4
large;2;hundred, economy;('dark', 'circle');0;44
monetary;2;hundred, economy;('economy', 'aid');1;4
money;2;hundred, economy;('aid', 'economy');0;6
monopoly;2;hundred, economy;('economy', 'lawyer');0;9
number;2;hundred, economy;('hundred', 'day');0;11
percentage;2;hundred, economy;('economy', 'calorie');0;6
price;2;hundred, economy;('day', 'economy');0;14
rich;2;hundred, economy;('dark', 'wicked');0;74
stock;2;hundred, economy;('economy', 'lion');0;24
abuse;2;corpse, fight;('fight', 'teacher');1;3
battle;2;corpse, fight;('fight', 'island');1;4
body;2;corpse, fight;('wrist', 'corpse');1;4
dark;2;corpse, fight;('berry', 'fangs');0;32
dead;2;corpse, fight;('corpse', 'fight');1;0
death;2;corpse, fight;('fight', 'corpse');1;0
fatal;2;corpse, fight;('fight', 'corpse');1;0
funeral;2;corpse, fight;('corpse', 'garden');0;8
gladiator;2;corpse, fight;('fight', 'fangs');0;5
gun;2;corpse, fight;('fight', 'ceiling');0;6
kill;2;corpse, fight;('fight', 'corpse');1;0
knockout;2;corpse, fight;('fight', 'fruit');0;6
murder;2;corpse, fight;('corpse', 'fight');1;0
war;2;corpse, fight;('fight', 'reality');1;1
zombie;2;corpse, fight;('corpse', 'fangs');1;1
analyze;2;graph, copy;('graph', 'copy');1;0
cheat;2;graph, copy;('copy', 'fight');0;18
computer;2;graph, copy;('copy', 'clock');1;2
data;2;graph, copy;('graph', 'copy');1;0
document;2;graph, copy;('copy', 'extension');1;1
excel;2;graph, copy;('graph', 'copy');1;0
homework;2;graph, copy;('teacher', 'copy');0;5
math;2;graph, copy;('teacher', 'graph');0;20
note;2;graph, copy;('copy', 'graph');1;0
number;2;graph, copy;('copy', 'extension');1;2
office;2;graph, copy;('kitchen', 'extension');0;59
paper;2;graph, copy;('copy', 'graph');1;0
photo;2;graph, copy;('copy', 'carpet');0;14
program;2;graph, copy;('teacher', 'extension');0;17
spreadsheet;2;graph, copy;('graph', 'copy');1;0
statistic;2;graph, copy;('graph', 'reality');0;5
work;2;graph, copy;('teacher', 'extension');0;32
bacon;2;kitchen, egg;('egg', 'fruit');1;2
bake;2;kitchen, egg;('egg', 'fruit');1;1
breakfast;2;kitchen, egg;('kitchen', 'fruit');1;1
chicken;2;kitchen, egg;('egg', 'fruit');1;1
cook;2;kitchen, egg;('kitchen', 'egg');1;0
domestic;2;kitchen, egg;('garden', 'kitchen');0;9
food;2;kitchen, egg;('fruit', 'kitchen');1;4
fry;2;kitchen, egg;('egg', 'fruit');1;1
omelet;2;kitchen, egg;('egg', 'fruit');1;1
scramble;2;kitchen, egg;('egg', 'fight');0;8
food;2;homeless, apartment;('homeless', 'onion');0;14
gentrification;2;homeless, apartment;('homeless', 'denial');1;2
hobo;2;homeless, apartment;('blues', 'homeless');0;36
home;2;homeless, apartment;('apartment', 'near');0;9
house;2;homeless, apartment;('apartment', 'near');0;7
live;2;homeless, apartment;('sky', 'blues');0;22
living;2;homeless, apartment;('apartment', 'homeless');1;0
residence;2;homeless, apartment;('apartment', 'near');1;3
shelter;2;homeless, apartment;('homeless', 'apartment');1;0
sleep;2;homeless, apartment;('child', 'homeless');0;13
welfare;2;homeless, apartment;('homeless', 'child');0;9
discover;2;near, astronaut;('combination', 'apartment');0;87
distance;2;near, astronaut;('near', 'apartment');0;21
far;2;near, astronaut;('done', 'near');0;36
land;2;near, astronaut;('near', 'apartment');0;28
mars;2;near, astronaut;('astronaut', 'sky');1;1
moon;2;near, astronaut;('sky', 'astronaut');0;13
orbit;2;near, astronaut;('astronaut', 'sky');1;1
rocket;2;near, astronaut;('astronaut', 'sky');1;2
space;2;near, astronaut;('apartment', 'astronaut');1;2
spatial;2;near, astronaut;('combination', 'color');0;127
train;2;near, astronaut;('carriage', 'near');0;26
breath;2;onion, cigarette;('cigarette', 'sky');0;15
burn;2;onion, cigarette;('done', 'cigarette');1;4
cough;2;onion, cigarette;('cigarette', 'thorn');0;9
cry;2;onion, cigarette;('child', 'thorn');0;144
disgust;2;onion, cigarette;('disregard', 'denial');0;49
gross;2;onion, cigarette;('disregard', 'denial');0;108
halitosis;2;onion, cigarette;('cigarette', 'homeless');1;3
heat;2;onion, cigarette;('combination', 'onion');0;12
lung;2;onion, cigarette;('cigarette', 'combination');0;10
mouth;2;onion, cigarette;('cigarette', 'thorn');1;1
odor;2;onion, cigarette;('cigarette', 'color');1;2
plant;2;onion, cigarette;('flower', 'near');0;52
pungent;2;onion, cigarette;('onion', 'cigarette');1;0
smell;2;onion, cigarette;('cigarette', 'onion');1;0
smelly;2;onion, cigarette;('cigarette', 'onion');1;0
stink;2;onion, cigarette;('cigarette', 'onion');1;0
strong;2;onion, cigarette;('combination', 'done');0;139
clarify;2;definition, assist;('assist', 'definition');1;0
dictionary;2;definition, assist;('definition', 'tree');0;11
explain;2;definition, assist;('experiment', 'definition');1;2
help;2;definition, assist;('assist', 'conquer');1;2
helpful;2;definition, assist;('assist', 'quiet');1;1
instructor;2;definition, assist;('assist', 'pants');0;8
reference;2;definition, assist;('definition', 'cover');1;3
rondo;2;definition, assist;('assist', 'bull');0;9
synonym;2;definition, assist;('definition', 'tree');0;15
teach;2;definition, assist;('assist', 'conquer');0;6
thesaurus;2;definition, assist;('definition', 'beaker');0;5
vocabulary;2;definition, assist;('definition', 'experiment');1;4
apparel;2;pants, collar;('pants', 'collar');1;0
attire;2;pants, collar;('pants', 'collar');1;0
belt;2;pants, collar;('collar', 'pants');1;0
cloth;2;pants, collar;('cover', 'pants');1;1
clothes;2;pants, collar;('pants', 'pieces');1;1
shirt;2;pants, collar;('pants', 'collar');1;0
suit;2;pants, collar;('pants', 'collar');1;0
apocalypse;2;war, quiet;('war', 'conquer');0;9
battle;2;war, quiet;('war', 'conquer');0;8
battlefield;2;war, quiet;('war', 'conquer');1;1
ceasefire;2;war, quiet;('war', 'quiet');1;0
death;2;war, quiet;('war', 'bull');0;6
disagreement;2;war, quiet;('definition', 'war');1;3
drone;2;war, quiet;('war', 'experiment');1;1
fight;2;war, quiet;('war', 'conquer');0;15
loud;2;war, quiet;('quiet', 'pants');0;6
melancholy;2;war, quiet;('quiet', 'pieces');1;1
negotiate;2;war, quiet;('assist', 'conquer');0;33
nerve-racking;2;war, quiet;('quiet', 'beaker');0;31
noise;2;war, quiet;('quiet', 'cover');0;12
nuclear;2;war, quiet;('war', 'experiment');1;4
peace;2;war, quiet;('war', 'quiet');1;0
settlement;2;war, quiet;('war', 'welfare');0;11
silence;2;war, quiet;('quiet', 'war');1;0
silent;2;war, quiet;('quiet', 'war');1;0
spies;2;war, quiet;('war', 'conquer');1;3
stealth;2;war, quiet;('war', 'pants');0;8
veteran;2;war, quiet;('war', 'assist');0;8
yell;2;war, quiet;('pants', 'bull');0;39
affect;2;flat, alike;('competition', 'deteriorate');0;64
angle;2;flat, alike;('flat', 'float');0;11
bland;2;flat, alike;('flat', 'alike');1;0
boring;2;flat, alike;('heavy', 'flat');1;2
comparison;2;flat, alike;('competition', 'service');0;16
description;2;flat, alike;('service', 'beauty');0;88
desert;2;flat, alike;('winter', 'beauty');0;62
feet;2;flat, alike;('flat', 'hose');0;23
geometric;2;flat, alike;('flat', 'feather');0;10
pancake;2;flat, alike;('float', 'herb');0;57
paper;2;flat, alike;('receipt', 'flat');0;75
plain;2;flat, alike;('flat', 'heavy');0;5
plateau;2;flat, alike;('flat', 'beauty');0;39
same;2;flat, alike;('man', 'service');0;7
shoe;2;flat, alike;('flat', 'feather');0;36
sidewalk;2;flat, alike;('grocery', 'flat');0;23
similar;2;flat, alike;('service', 'flat');1;3
smooth;2;flat, alike;('flat', 'heavy');0;16
tire;2;flat, alike;('flat', 'hose');0;76
unchanging;2;flat, alike;('beauty', 'deteriorate');0;33
uniform;2;flat, alike;('flat', 'hose');0;21
wall;2;flat, alike;('flat', 'float');0;23
antonym;2;heavy, feather;('adultery', 'perjury');0;183
eagle;2;heavy, feather;('feather', 'winter');0;6
float;2;heavy, feather;('float', 'feather');0;23
heart;2;heavy, feather;('man', 'baby');0;22
light;2;heavy, feather;('heavy', 'flat');1;3
lightweight;2;heavy, feather;('heavy', 'flat');1;1
might;2;heavy, feather;('man', 'alike');0;95
opposite;2;heavy, feather;('flat', 'man');0;167
ostrich;2;heavy, feather;('feather', 'float');0;14
oxymoron;2;heavy, feather;('adultery', 'perjury');0;182
penguin;2;heavy, feather;('baby', 'puppy');0;42
pound;2;heavy, feather;('heavy', 'puppy');0;20
weight;2;heavy, feather;('heavy', 'baby');0;6
weightless;2;heavy, feather;('float', 'feather');0;17
cheat;2;perjury, adultery;('man', 'adultery');0;27
court;2;perjury, adultery;('competition', 'perjury');1;4
courtroom;2;perjury, adultery;('perjury', 'adultery');1;0
crime;2;perjury, adultery;('adultery', 'perjury');1;0
illegal;2;perjury, adultery;('adultery', 'perjury');1;0
law;2;perjury, adultery;('service', 'adultery');1;3
lawsuit;2;perjury, adultery;('competition', 'perjury');1;3
naughty;2;perjury, adultery;('beauty', 'puppy');0;109
sin;2;perjury, adultery;('adultery', 'man');1;2
wrong;2;perjury, adultery;('man', 'baby');0;35
wrongdoing;2;perjury, adultery;('perjury', 'adultery');1;0
attitude;2;bad, actress;('bad', 'dominant');0;24
boo;2;bad, actress;('bad', 'bow');0;14
cringeworthy;2;bad, actress;('bad', 'deodorant');1;4
critic;2;bad, actress;('actress', 'most');1;1
drama;2;bad, actress;('actress', 'bad');1;0
failure;2;bad, actress;('bad', 'communicate');0;51
fake;2;bad, actress;('bad', 'trash');1;1
film;2;bad, actress;('actress', 'bad');1;0
imitator;2;bad, actress;('party', 'actress');0;13
monologue;2;bad, actress;('actress', 'trash');1;3
movie;2;bad, actress;('actress', 'bad');1;0
music;2;bad, actress;('most', 'party');0;5
nepotism;2;bad, actress;('bad', 'party');0;11
rot;2;bad, actress;('trash', 'vegetable');0;159
television;2;bad, actress;('actress', 'cooking');1;4
terrible;2;bad, actress;('bad', 'most');1;2
villain;2;bad, actress;('bad', 'actress');1;0
air;2;breeze, bubble;('breeze', 'base');1;1
bath;2;breeze, bubble;('bubble', 'deodorant');0;6
beach;2;breeze, bubble;('breeze', 'party');1;2
blow;2;breeze, bubble;('bubble', 'breeze');1;0
effect;2;breeze, bubble;('bad', 'bubble');0;38
float;2;breeze, bubble;('bubble', 'breeze');1;0
gentle;2;breeze, bubble;('breeze', 'deodorant');1;3
light;2;breeze, bubble;('base', 'breeze');1;2
ocean;2;breeze, bubble;('breeze', 'bubble');1;0
outside;2;breeze, bubble;('base', 'party');0;85
relax;2;breeze, bubble;('breeze', 'clarify');1;2
sea;2;breeze, bubble;('breeze', 'deer');0;6
soap;2;breeze, bubble;('deodorant', 'vegetable');0;48
spring;2;breeze, bubble;('breeze', 'deer');0;10
wind;2;breeze, bubble;('breeze', 'bow');1;4
bake;2;communicate, cooking;('cooking', 'sauce');0;40
book;2;communicate, cooking;('most', 'plan');0;48
chef;2;communicate, cooking;('cooking', 'sauce');0;31
competition;2;communicate, cooking;('most', 'dominant');0;93
cultural;2;communicate, cooking;('dominant', 'clarify');0;16
culture;2;communicate, cooking;('dominant', 'cooking');0;10
food;2;communicate, cooking;('cooking', 'vegetable');0;33
kitchen;2;communicate, cooking;('cooking', 'vegetable');0;28
list;2;communicate, cooking;('most', 'plan');0;144
mother;2;communicate, cooking;('care', 'actress');0;55
partner;2;communicate, cooking;('communicate', 'dominant');0;45
practice;2;communicate, cooking;('care', 'clarify');0;35
recipe;2;communicate, cooking;('sauce', 'cooking');0;65
show;2;communicate, cooking;('party', 'actress');0;110
talk;2;communicate, cooking;('bad', 'communicate');0;12
tell;2;communicate, cooking;('communicate', 'clarify');0;24
video;2;communicate, cooking;('bad', 'actress');0;102
ball;2;bat, bounce;('bounce', 'bat');1;0
baseball;2;bat, bounce;('bat', 'gold');1;3
echolocation;2;bat, bounce;('bat', 'dracula');1;2
fly;2;bat, bounce;('bat', 'bounce');1;0
groundball;2;bat, bounce;('bounce', 'bat');1;0
hero;2;bat, bounce;('priest', 'dracula');0;58
move;2;bat, bounce;('bounce', 'agenda');0;7
sport;2;bat, bounce;('drink', 'gold');0;30
allergy;2;lunch, almond;('bacteria', 'almond');0;32
food;2;lunch, almond;('lunch', 'drink');0;5
health;2;lunch, almond;('debate', 'agenda');0;68
milk;2;lunch, almond;('drink', 'almond');1;4
nut;2;lunch, almond;('almond', 'knob');1;4
nutrition;2;lunch, almond;('drink', 'lunch');1;3
peanut;2;lunch, almond;('almond', 'soap');1;1
sandwich;2;lunch, almond;('lunch', 'almond');1;0
snack;2;lunch, almond;('lunch', 'drink');1;1
blood;2;toes, dracula;('drink', 'bacteria');0;25
body;2;toes, dracula;('soap', 'bacteria');0;95
claw;2;toes, dracula;('knob', 'toes');0;11
count;2;toes, dracula;('bounce', 'dracula');0;20
creepy;2;toes, dracula;('dracula', 'bat');1;1
fetish;2;toes, dracula;('toes', 'soap');0;5
freak;2;toes, dracula;('bat', 'bounce');0;25
ground;2;toes, dracula;('toes', 'almond');0;119
human;2;toes, dracula;('agenda', 'bacteria');0;83
person;2;toes, dracula;('drink', 'priest');0;142
scary;2;toes, dracula;('dracula', 'bat');1;4
stub;2;toes, dracula;('soap', 'window');0;68
suck;2;toes, dracula;('drink', 'toes');0;12
teeth;2;toes, dracula;('toes', 'bacteria');1;3
twilight;2;toes, dracula;('dracula', 'bell');0;10
ugly;2;toes, dracula;('window', 'toes');0;15
vampire;2;toes, dracula;('dracula', 'priest');0;5
vein;2;toes, dracula;('gold', 'rhythm');0;37
adventure;2;cave, knight;('cave', 'fairy');1;1
castle;2;cave, knight;('cave', 'knight');1;0
dark;2;cave, knight;('red', 'glow');0;13
darkness;2;cave, knight;('glow', 'knight');1;2
dragon;2;cave, knight;('knight', 'fairy');1;1
dungeon;2;cave, knight;('cave', 'knight');1;0
hide;2;cave, knight;('cave', 'trim');0;44
kingdom;2;cave, knight;('knight', 'fairy');1;2
medieval;2;cave, knight;('fairy', 'knight');1;2
monster;2;cave, knight;('knight', 'fairy');0;9
opposite;2;cave, knight;('weak', 'bench');0;67
protection;2;cave, knight;('site', 'quick');0;163
quest;2;cave, knight;('knight', 'fairy');1;1
soldier;2;cave, knight;('knight', 'robin');1;3
valor;2;cave, knight;('knight', 'glow');0;9
warrior;2;cave, knight;('knight', 'fairy');1;1
comet;2;quick, glow;('bird', 'glow');0;66
explosion;2;quick, glow;('glow', 'site');0;7
fire;2;quick, glow;('glow', 'oak');0;26
firefly;2;quick, glow;('glow', 'fairy');0;19
firework;2;quick, glow;('glow', 'fairy');0;26
flare;2;quick, glow;('glow', 'trim');1;3
flash;2;quick, glow;('quick', 'glow');1;0
flashlight;2;quick, glow;('glow', 'red');1;1
flicker;2;quick, glow;('glow', 'bird');0;6
laser;2;quick, glow;('cut', 'glow');1;3
light;2;quick, glow;('glow', 'red');0;6
lightening;2;quick, glow;('glow', 'mild');1;1
lightning;2;quick, glow;('glow', 'knight');1;2
match;2;quick, glow;('quick', 'robin');0;40
neon;2;quick, glow;('red', 'glow');0;19
shine;2;quick, glow;('glow', 'hope');0;5
silver;2;quick, glow;('red', 'trim');0;69
spark;2;quick, glow;('glow', 'hope');1;1
acorn;2;tree, oak;('oak', 'tree');1;0
arbor;2;tree, oak;('oak', 'tree');1;0
bark;2;tree, oak;('tree', 'oak');1;0
branch;2;tree, oak;('tree', 'oak');1;0
climb;2;tree, oak;('cave', 'tree');0;15
deciduous;2;tree, oak;('tree', 'oak');1;0
foliage;2;tree, oak;('tree', 'oak');1;0
forest;2;tree, oak;('tree', 'oak');1;0
green;2;tree, oak;('red', 'glow');0;18
leaf;2;tree, oak;('tree', 'oak');1;0
maple;2;tree, oak;('oak', 'tree');1;0
nature;2;tree, oak;('bird', 'tree');0;30
photosynthesis;2;tree, oak;('tree', 'analyze');0;25
plant;2;tree, oak;('tree', 'bird');1;1
root;2;tree, oak;('tree', 'red');1;3
squirrel;2;tree, oak;('bird', 'tree');0;23
sturdy;2;tree, oak;('oak', 'trim');0;7
sycamore;2;tree, oak;('oak', 'tree');1;0
tree;2;tree, oak;('tree', 'oak');1;0
wood;2;tree, oak;('oak', 'tree');1;0
